tigal,tech,Tech pt,Description en,Descrição pt,Proximus,Photo URL,photo,review,Money,C-EdTech,C-Google,C-2015,Telecom
,Metaprogramming,Metaprogramação,"The writing of computer programs with the ability to treat programs as their data. It means that a program could be designed to read, generate, analyse and/or transform other programs, and even modify itself while running.","O desenvolvimento de programas de computador com a capacidade de considerar programas como dados. Isso significa que um programa pode ser projetado para ler, gerar, analisar e / ou transformar outros programas, e até mesmo modificar-se durante a execução.",,https://www.dropbox.com/s/dhsg1ndt17i92ed/Metaprogramming.jpg?dl=1,ok,ok,,,,,
,Micro nuclear reactors,Microrreator Nuclear,"A small, sealed version of a nuclear reactor (approximately a few tens of meters in length) capable of being shipped or flown to a site.","Uma versão pequena e selada de um reator nuclear (algumas dezenas de metros de comprimento) capaz de ser transportado. No momento, pode fornecer 10 MW de energia, e em breve será capaz de entregar 50 MW.",,,ok,ok,,,,,
,Micro stirling engines,Micro Motor De Combustão Externa,Micrometer sized power generators that transform energy into compression and expansion strokes. Could hypothetically be 3D-printed on the ﬂy and cover entire heat-generating surfaces in order to generate power.,"Geradores de energia micrométricas que transformam energia em ciclos de compressão e expansão. Hipoteticamente, poderiam ser impressos em 3D, em tempo real, e cobrir por inteiro superfícies geradoras de calor, a fim de gerar energia .",,,ok,ok,,,,,
,Microfinance,,Provide banking services to small businesses and entrepreneurs who otherwise have no real access them.,,,http://www.businessnewsdaily.com/images/i/000/003/828/i02/shutterstock_115548781.jpg?1365111317,,,ok,,,,
,Microlending,,"Is the extension of very small loans (microloans) to impoverished borrowers who typically lack collateral, steady employment and a verifiable credit history. It is designed not only to support entrepreneurship and alleviate poverty, but also in many cases to empower women and uplift entire communities by extension.",,,http://wallpoper.com/images/00/25/67/85/close-up-money_00256785.jpg,,,ok,,,,
,Microscale 3D printers,Impressoras 3D De Microescala,"Enables manipulating materials at high precision. Could print electronics, toys or fibers.","Permitem a manipulação direta de grupos individuais de moléculas, produzindo protótipos de precisão. Usadas para produzir eletrônicos, alimentos, remédios, fibras e tecidos biológicos.",,,ok,ok,,,,,
,Minibuilders,Miniconstrutores,"Robotic swarm that is able to construct buildings of any size, with high level of efficiency.","Robôs conectados capazes de construir edifícios de qualquer tamanho, com alto nível de eficiência.",,,ok,ok,,,,,
,Mobile Analytics,,Provides a deeper understanding of your mobile app users and a comprehensive view into your mobile campaign performance.,,ok,,,,,,,,ok
,Mobile Collaboration,Colaboração Móvil,Services that make it fruitful to create and edit documents on mobile devices.,Serviços que permitem a criação e edição de documentos em dispositivos móveis.,,https://www.dropbox.com/s/9mnvhfnvvkhhd9e/Colabora%C3%A7%C3%A3o%20Mobile.jpg?dl=1,ok,ok,,ok,,,
,MOBILE CREDIT CARD READERS ,,"A hardware add-on for smartphones that uses their internet connection to enable credit card processing. As an alternative to traditional credit card authorisation, this offers institutions, big or small, more independence and a smaller setup cost for payment systems.",,,http://icdn2.digitaltrends.com/image/square-iphone-credit-card-reader-640x426-c.jpg?ver=17,,,ok,,,,
,Mobile Payments,,"Instead of paying with cash, cheque, or credit cards, a consumer can use a mobile phone to pay for a wide range of services and digital or hard goods. ",,ok,,,,,,,,ok
,Modular displays,Displays Modulares,New type of display technology that can snap together like Lego bricks and bring different kinds of displays together.,Novo tipo de tecnologia de displays que podem se encaixar como pecas de Lego e assim construir diferentes tipos e novos formatos de displays,,https://trello-attachments.s3.amazonaws.com/5433d74ca6701adbf0391220/957x540/96adabda221da1091aceab541b51db4d/Screenshot_2014-10-07_09.07.07.png,ok,ok,,ok,1,,
,Modular electronics,Eletrônicos Modulares,An approach that subdivides a system into smaller parts that can be independently created and then used in different systems to drive multiple functionalities.,Permite a subdivisão de um sistema para criar funcionalidades intercambiáveis. A proposta modular permite maior customização e melhorias por meio de um design mais flexível.,,https://www.dropbox.com/s/3o6os3fcka6ytdg/Modular%20electronics.jpg?dl=1,ok,ok,,,,,
,Molecular fluorescence imaging,Imagem Molecular Fluorescente,"Color images are commonly superimposed with fluorescence measurements to provide orientation, anatomical information, and molecular tissue properties in a single image.","As imagens coloridas são comumente sobreposta com medições de fluorescência para fornecer orientação, informações anatômicas e propriedades moleculares dos tecidos, em uma única imagem.",,,ok,ok,,,,,
,Molecular sensor,Sensor Molecular,Tiny spectrometer that allows to get instant relevant information about the chemical make-up of materials or physical objects.,Pequeno espectometro que permite captar informações relevantes sobre a composição química de materiais e objetos físicos.,,https://www.dropbox.com/s/d8902huodo1szmf/Molecular%20Sensor.jpg?dl=1,ok,ok,,,1,,
,MOOCs,Moocs,A type of online course aimed at large-scale participation and open access via the web.,Cursos online projetados para participação em larga escala com acesso aberto via web.,,,ok,ok,,ok,,,
,Morphing materials, Materiais Metamórficos,Materials that change shape and return to their initial form. Morphing materials might be metals or polymers that have a 'memory'; or are covered with a 'skin' that will instigate a shape change.,"Materiais que mudam de forma e voltam à sua forma inicial. São metais ou polímeros que possuem uma ""memória"" ou são cobertos com uma ""pele"" que instiga a mudança de forma.",,https://www.dropbox.com/s/1wogslumvkdvrhm/Morphing%20Materials.jpg?dl=1,ok,,,ok,1,,
,Multitouch surfaces,,"Whole work surface can be manipulated with real-time data and altered for completely different purposes, allowing collaboration and substituting materials",,,,,,,ok,,,
,Nano electricmechanical systems,Sistemas Nano Electromecánicos,"Devices integrating electrical and mechanical functionality on the nanoscale. NEMS typically integrate transistor-like nanoelectronics with mechanical actuators, pumps, or motors, and may thereby form physical, biological, and chemical sensors.","Dispositivos que integram as funcionalidades elétricas e mecânicas em nanoescala. Os sistemas NEMs tipicamente integram nanoeletrônicos com atuadores mecânicos, bombas ou motores, podendo assim formar sensores físicos, biológicos e químicos.",,https://www.dropbox.com/s/rsetdbkipd7udwx/Nano%20electricmechanical%20systems.jpg?dl=1,ok,ok,,,,,
,Nanofactories,Nanofábricas,"Nanomachines combine reactive molecules via mechanosynthesis to build larger, atomically precise parts. These, in turn, are assembled by positioning mechanisms of increasing size to build macroscopic (human-scale) products that remain atomically precise.","Nanomáquinas combinam moléculas reactivas através de mecanossíntese para construir peças maiores, atomicamente precisas. Estas, por sua vez, são montadas posicionando mecanismos de maior tamanho para construir produtos microscópicos (em escala humana) que permanecem atomicamente precisos.",,,ok,ok,,,,,
,Nanogenerator,Nanogerador,Converts mechanical/thermal energy as produced by small-scale physical change into electricity.,"Converte a energia mecânica / térmica, produzida por mudanças físicas de pequena escala (ex. movimento), em energia elétrica.",,https://www.dropbox.com/s/3z8n66p7fxvh65r/nanogenerator.jpg?dl=1,ok,ok,,,,,
,Nanomedicine,Nanomedicina,"The medical application of nanotechnology, ranges from the medical applications of nanomaterials, to nanoelectronic biosensors, and even possible future applications of molecular nanotechnology.","A aplicação médica da nanotecnologia, varia entre as aplicações médicas de nanomateriais, para biossensores nanoeletrônicos, e até mesmo possiveis aplicações da nanotecnologia molecular no futuro.",,https://www.dropbox.com/s/x9toj2sl0sil6vm/Nanomedicine.jpg?dl=1,ok,ok,,,,,
,Nanoscale Microscope,,"Subdermal optical device that provides 3D views of living cells. It allows researchers to monitor real-time interactions between immune cells and tumors, providing insight into new therapies, increasing diagnostic accuracy and reducing the patient’s pain, compared to traditional approaches.",,,https://trello-attachments.s3.amazonaws.com/5446c06af31fb42e7a559970/600x450/4498e481a047764505cd42ec6eb6b6e1/coming-soon-06-1014-lgn.jpg,,,,,,,
,Nanoscale 3D printers,Impressoras 3D De Nanoescala,"Enables directly manipulating individual groups of molecules. Could print food, medicine or body parts.","Permite manipular diretamente grupos individuais de moléculas. Poderia imprimir alimentos, remédios ou partes do corpo.",,https://www.dropbox.com/s/ludxc4cf34ehsqi/Nanoscale%203D%20printers.jpeg?dl=1,,ok,,,,,
,Near-field communication,Comunicação Por Campo De Proximidade (Nfc),"Allows for simplified transactions, data exchange, and wireless connections between two devices in close proximity to each other.","Permite transações simplificadas, troca de dados e conexões sem fio entre dois dispositivos que estejam próximos um do outro.",,https://www.dropbox.com/s/56u46unh715vol3/Near-field%20communication.jpg?dl=1,ok,ok,ok,,,,ok
,Network Functions Virtualization,,,,ok,,,,,,,,ok
,Networked purchase path,Rastreamento De Caminhos De Compra,"Connected technologies and human service to meet the shopper wherever they are and anticipate where they will go next, enabling better interactions at every stage of the sale.","Emprego de dados, tecnologias e recursos humanos para atender consumidores onde quer que eles estejam, antecipando seu caminho e permitindo uma melhor interação de venda.",,https://www.dropbox.com/s/ahq4sp6c16y4944/Networked%20Purchase%20Path.jpg?dl=1,ok,ok,ok,,,,
,Neural biofeedback,Biofeedback Neural,"Biofeedback using real-time EEG or fMRI to illustrate brain activity, often with a goal of controlling the central nervous actions.","O biofeedback utiliza em tempo real EEG ou fMRI para ilustrar a atividade do cérebro, muitas vezes com o objetivo de controlar as ações do sistema nervoso central.",,https://www.dropbox.com/s/r64tuwli8szddgn/Neural%20biofeedback.jpg?dl=1,ok,ok,,,,,
,Intellectual property management,,Helps content creators and brands grow online audiences and monetize content.,,ok,,,,,,,,ok
,Neural network image recognition,Reconhecimento De Imagem,"Using hundreds of thousands of processor cores programmed to algorithmically determine the content of a given image. Different from reverse image search, neural network image recognition has the capacity to successfully understand the photo of, for example, a cat, based on thousands of cat pictures.","Centenas de milhares de processadores podem ser programados algoritmicamente para identificar uma imagem. Conseguindo, por exemplo, identificar um gato baseado em milhares de fotos de outros gatos.",,https://www.dropbox.com/s/llk9nu48o4vmrpq/Neural%20Network%20Image%20Recognition.jpg?dl=1,ok,ok,ok,ok,,,
,Neuroexperience,Neuroexperiência,"Full nervous system integrated into the gaming experience by using new sensor technologies, output systems, and game design techniques.","Integra o sistema nervoso na experiência do jogo ao usar novas tecnologias de sensores, sistemas de saída e técnicas de projeção.",,https://www.dropbox.com/s/26ak73vbhsbfuqn/NEUROEXPERIENCE.jpg?dl=1,ok,ok,,ok,1,,ok
,Neuromorphic chips,Chips Neuromórficos,Microprocessors configured more like brains than traditional chips could soon make computers far more astute about what’s going on around them.,"Microprocessadores configurados para agir similar aos cérebros. Podem, em breve, fazer com que computadores sejam muito mais inteligentes e conscientes sobre o que os rodeia. ",,https://www.dropbox.com/s/kx2d315c6i4yhbt/Neuromorphic%20Chips.png?dl=1,ok,ok,,,,,
,Neuroprosthetics,Neuropróteses,"Neural devices capable of substituting motor, sensory or cognitive modalities that might have been damaged as a result of an injury or a disease. Applications include neural enhancements, advanced cognitive features and extended physiological senses.","Dispositivos neurais que substituem modalidades motoras, sensoriais e cognitivas danificadas. Suas aplicações incluem reparações neurais e melhoria de funções cognitivas e sentidos fisiológicos.",,https://www.dropbox.com/s/4cmddxanlak0nv4/Neuroprosthetics.jpg?dl=1,ok,ok,,,,,
,Neuromodulation Implants,,"Tiny electronic implants that interface directly with your nervous system and can directly control and regulate many different diseases and chronic conditions. This approach can substantially improve neuromodulation therapies, stimulating your nervous system to improve or fix an underlying problem.",,,https://trello-attachments.s3.amazonaws.com/5446bed86bce4f63d7aeaa79/1661x1367/5c3ee3732147c3584fdb8c074873a823/alpha-ims-x-ray-retinal-implant.jpg,,,,,,,
,On demand TV,,"Allows users to select and watch/listen tovideo or audio content when they choose to, rather than having to watch at a specific broadcast time.",,ok,,,,,,,,ok
,Oncolytic virus,Vírus Oncótico,"A virus that preferentially infects and kills cancer cells. As the infected cancer cells are destroyed by lysis, they release new infectious virus particles to help destroy the remaining tumour.","Um vírus que preferencialmente afeta e mata células cancerígenas. Como células cancerígenas são destruídas por lise, elas liberam novas partículas do vírus infectante que ajudam a destruir o tumor remanescente.",,,ok,ok,,,,,
,Online Live TV,,,,,,,,,,,,ok
,Online-only Banks,,"Enables higher interest rates, lower fees and minimum requirements. They can problem-solve and innovate easily with technology - deposits are done via smartphone photos and customer service is available immediately through online chatting.",,,http://www.allaboutmoney.com/images/copyimages/online_banking.jpg,,,ok,,,,
,OPEN DATA ANALYTICS ,,"A raft of applications have emerged to evaluate transaction patterns, anticipate outcomes andprogress. Enabling individuals to measure themselves against large swaths of the population and have a clearer understanding of their position. ",,,http://makewebworld.com/wp-content/uploads/shutterstock_101644786.jpg?b336fe,,,ok,,,,
,Open education records,,,,,,,,,ok,,,
,Open health records,Registros Médicos Abertos,"Designed to represent data that accurately captures the state of the patient at all times. It allows for an entire patient history to be viewed ensuring data is accurate, appropriate and legible.",Captam o estado do paciente em tempo real e são acessíveis a qualquer pessoa com permissão.,ok,https://www.dropbox.com/s/9fgrey9udyf0mff/Open%20Health%20Records.jpg?dl=1,ok,ok,,,,,ok
,Open-source governance,Governo Open-Source,"A political philosophy which advocates the application of the ideas of the open source and open content movements to democratic principles in order to enable any interested citizen to add to the creation of policy, as with a wiki document.","Uma filosofia política que defende conteúdo e leis governamentais abertas por princípios democráticos. Dessa forma, qualquer cidadão interessado pode contribuir na criação de uma política – como em um documento wiki.",,https://www.dropbox.com/s/vzzc6d866uljsbu/GOVERNAN%C3%87A%20OPEN-SOURCE.jpg?dl=1,ok,ok,,,1,,
,Open-source governance (edu focus),,,,,,,,,ok,,,
,OPEN-SOURCE INVESTMENT ALGORITHMS,,"Following the volatility of the financial markets and loss of confidence in its institutions, there has been a rise in platforms to drive open-source algorithms. Built by a community, are constantly adapting and evolving. ",,,http://www.sas.com/en_gb/home/_jcr_content/par/homecarousel/hpcarousel/textimage_dcfc/image.img.jpg/1414682279935.jpg,,,ok,,,,
,Operational intelligence,,"Delivers visibility and insight into data, streaming events and business operations. It provides organizations the ability to make decisions and immediately act on these analytic insights, through manual or automated actions.",,ok,,,,,,,,ok
,Optogenetic Implants,Implantes Optogenéticos,"The combination of genetic and optical methods to control specific events in targeted cells of living tissue, with the temporal precision (millisecond timescale) needed to keep pace with functioning intact biological systems.","A combinação de métodos genéticos e ópticos para controlar eventos específicos nas células em tecido vivo, com a precisão (milissegundos) necessária para manter intato o funcionamento de sistemas biológicos.",,,ok,ok,,,,,
,IT automation software,,"Manage various stages of the IT infrastructure lifecycle, including the provisioning, patching, configuration, and management of operating system and application components across enterprise data centers and cloud infrastructures.",,,,,,,,,,
,Optogenetics,Optogenética,"Optogenetics is a neuromodulation technique using a combination of methods from optics and genetics to control the activity of individual neurons in living tissue. The ultimate goal is to be able to modulate our senses, repair lost senses or even perform specific DNA targeting with femtosecond laser.",Optogenética é uma técnica de neuromodulação que usa uma combinação de métodos de óptica e genética para controlar a atividade de neurônios individuais em tecidos vivos. O objetivo final é ser capaz de modular os nossos sentidos e reparar sentidos perdidos.,,https://www.dropbox.com/s/qc1tvrp76sbjrji/Optogenetics.jpg?dl=1,ok,,,,,,
,Organ printing,Impressora De Órgãos,"The use of a combination of cells, engineering, material methods, suitable biochemical and physio-chemical factors to improve or replace biological functions. The term is closely associated with applications that repair or replace portions of or whole tissues.","Combina engenharia celular, engenharia de materiais, elementos bioquímicos e fisioquímicos para melhorar ou substituir funções biológicas. São ferramentas que podem reparar ou substituir porções ou órgãos inteiros.",,https://www.dropbox.com/s/52wecgwdym7agj1/Organ%20printing.png?dl=1,ok,ok,,,,,
,Outernet,Outernet,"Global networking project that aims to provide free access to internet data through wifi, made available effectively to all parts of the world using datacasting technology.","Projeto global de redes que tem por objetivo fornecer acesso gratuito a dados na Internet usando wifi, disponibilizando de forma eficaz a todas as partes do mundo, utilizando tecnologias para difusão de dados.",,https://www.dropbox.com/s/hr0ctuazv7a23br/Outernet.png?dl=1,ok,ok,,,,,
,Pedal assist wheels,,Helps you ride your bike effortlessly. The motor turns on when you start pedaling and begins accelerating to your desired speed. It stops when you stop and you can remotely lock the motor and track it in case it gets stolen. ,"Ajuda você a andar de bicicleta sem esforço. O motor se ativa quando você começa a pedalar e acelera até chegar na velocidade desejada . O motor pára quando você indicar, pode travar o motor remotamente e localizar a bicicleta caso seja roubada.",,https://www.dropbox.com/s/qt65fb1p0g67548/Pedal%20assist%20wheels.jpg?dl=1,ok,ok,,,,,
,Peer-to-peer economies,,"Production transaction of goods occurs directly between individuals, not companies.",,,http://www.screaminggarlic.com/wp-content/uploads/2014/07/Peer-to-Peer-04.jpg,,,ok,,,,
,PEOPLE AS INVESTMENTS ,,"As accomplishments can be clearly measured, people, like companies, can position themselves as investments. By measuring their potential through data, statistics and 
algorithms, individuals can raise money in exchange for a small share of their future income.",,,http://www.wired.com/images_blogs/business/2013/03/0513WIFFIPOM001_crop.jpg,,,ok,ok,,,
,Perovskite-based Solar Cells,Células Solares À Base De Perovskita,Low-cost thin-film photovoltaic device with high energy efficiency and flexibility.,"Dispositivo fotovoltaico de baixo custo, alta eficiência energética e flexibilidade.",,,ok,ok,,,,,
,Personal area networks,Redes Pessoais,"Works around the vicinity of the user, enabling close-range bandwidth and information sharing.","Rede que funciona em torno do usuário, permitindo uma largura de banda de curto alcance e o compartilhamento de informações.",,https://www.dropbox.com/s/7wycrgg47jp9ckx/Personal%20Area%20Networks.jpg?dl=1,ok,ok,,,,,ok
,Personal rapid transit,Transporte Individual De Alta Velocidade,"Public transport mode featuring small automated vehicles operating on a network of specially built guide ways. PRT is a type of automated guideway transit (AGT), a class of system which also includes larger vehicles all the way to small subway systems.","Uma forma de transporte público com pequenos veículos automatizados que operam em rede sob trilhos-guia. TIR é um tipo de trânsito guiado automatizado (TGA), que também inclui veículos grandes e sistemas de pequenos trens.",,https://www.dropbox.com/s/xyexfeiszg3hvzv/Personal%20rapid%20transit.jpg?dl=1,ok,ok,,,,,
,Personalized medicine,Medicina Personalizada,The application of panomic analysis and systems biology to analyze the cause of an individual patient's disease at the molecular level and then to utilize targeted treatments (possibly in combination) to address that individual patient's disease process.,"Personalização dos cuidados de saúde por meio da análise genética e de dados biométricos, permitindo que as decisões médicas e os produtos possam ser adaptados para cada paciente.",ok,https://www.dropbox.com/s/icyt8czl4f7c6e0/Personalized%20Medicine.jpg?dl=1,ok,ok,,,,,ok
,Pervasive video capture,Captura De Vídeo Pervasiva,Records the surroundings of the user at all times using a combination of wearable sensors and cameras.,"Grava o entorno do usuário o tempo inteiro, usando uma combinação de sensores vestíveis e câmeras.",,,ok,ok,,,,,
,Photonics,Photonics,"Applications of photonics are ubiquitous. Included are all areas from everyday life to the most advanced science, e.g. light detection, telecommunications, information processing, lighting, metrology, spectroscopy, holography, medicine (surgery, vision correction, endoscopy, health monitoring), military technology, laser material processing, visual art, biophotonics, agriculture, and robotics.","A fotônica é a ciência da geração, emissão, transmissão, amplificação e detecção da luz. O conceito pode ser aplicado em diversos cenários, incluindo as áreas da vida cotidiana para cenários mais complexos como telecomunicações, processamento de informação, iluminação, metrologia, medicina, tecnologia militar, processamento de materiais a laser, arte visual, biofotônica, agricultura e robótica.",,http://kapost-files-prod.s3.amazonaws.com/uploads/direct/1387245737-1668-4158/ClearCurve_Fibers_on_Silicon_Photonics_Wafer.jpg,,ok,,,,,
,Photovoltaic glass,Janelas Fotovoltaicas,Glass with integrated solar cells which converts solar energy into electricity.,Vidros integrados com células solares para converter energia solar em eletricidade – a energia de um prédio inteiro poderia ser gerada através de sua superfície.,,,ok,ok,,,,,
,Phytochrome Hacking,Fitocromo Hacking,"Plants have an on/off cycle that traces back to molecules called phytochromes, which detect light and send along the various chemical signals that tell plants to wake up. The manipulation of this molecule is of great interest because it increase crop density and decreases CO2 generation by the plant.","As plantas têm um ciclo de liga/desliga no qual moléculas chamadas fitocromos são grandes responsáveis, são elas que detectam se existe luz e enviam sinais químicos que fazem as plantas ""acordarem"". A manipulação dessa molécula é de grande interesse, pois aumenta a densidade das plantações e diminui a geração de CO2 pela planta.",,,ok,,,,,,
,Picoprojectors,Pico Projetores,"Miniature projectors used in handheld devices such as mobile phones, personal digital assistants and digital cameras.","Projetores em miniatura anexos a dispositivos como smarthphones, assistentes pessoais digitais e câmeras.",,,ok,ok,,ok,,,
,Piezoelectric power generation,"Geração De Energia Piezoelétrica
",Electricity resulting from pressure or mechanical stress.,Eletricidade resultante de pressão ou esforço mecânico.,,,ok,ok,,,1,,
,Pop-up workspaces,Espaços De Trabalho Pop-Up,Modular designs allow companies to quickly accommodate workers depending on shifting priority of projects and teams. Varying levels of privacy and engaging interaction help to accommodate the different interactions that typically occur in an office. ,"Projetos modulares permitem que empresas rapidamente mudem de layout, priorizando projetos e equipes com diferentes níveis de privacidade. ",,,ok,ok,,ok,,,
,Powered exoskeleton,Exoesqueleto,A framework designed to assist and protect the wearer.,"Armação projetada para ajudar e proteger indivíduos em ambientes perigosos, como soldados em combate, trabalhadores em construções, bombeiros, equipes de resgate, etc.",,https://www.dropbox.com/s/c9mgo2ubz0uz0u7/Powered%20Exoskeleton.jpg?dl=1,ok,ok,,,,,
,Precision agriculture,Agricultura De Precisão,"Farming management based on observing (and responding to) intra-field variations. With satellite imagery and advanced sensors, farmers can optimize returns on inputs while preserving resources at ever larger scales. Further understanding of crop variability, geolocated weather data and precise sensors should allow improved automated decision-making and complementary planting techniques.","Administração de cultivos baseada em observação e resposta a variações internas do campo. Com imagens de satélite e sensores avançados, agricultores podem otimizar o retorno de investimentos enquanto preservam recursos. Entendimento mais profundo da variação da safra, dados do clima geolocalizado e sensores precisos permitirão uma melhoria na tomada de decisões automática e técnicas de plantio.",,https://www.dropbox.com/s/z6pya9z3tfau7ea/Precision%20Agriculture.jpg?dl=1,ok,ok,,,,,
,Predictive crime prevention,Prevenção Preditiva Do Crime,The use of sociometric sensors coupled with neural networked computers to statistically determine the probability of crime (or other anti-social behavior) taking place before it happens.,O uso de sensores sociométricos juntamente com computadores em rede neural para determinar estatisticamente a probabilidade de um crime antes que o mesmo aconteça.,,https://www.dropbox.com/s/v2fe6ivb8yeewk1/Predictive%20Crime%20Prevention.jpg?dl=1,ok,ok,,,,,
,Predictive group sentiment analysis,Análise De Sentimentos De Grupo,"Predicting the likely behavior of large groups of people based on sociometric input variables like social tension, weather variation, pedestrian ﬂows and degree of agitation is becoming increasingly possible.","Agentes de inteligência artificial preveem o comportamento provável de grupos de pessoas com base em variáveis ​​de entrada sociométricos como tensão social, variação de tempo e grau de agitação.",,https://www.dropbox.com/s/6kjncgmyzktzzul/Predictive%20group%20sentiment%20analysis.jpg?dl=1,ok,ok,,ok,,,
,Predictive location tracking,Rastreamento De Localização Preditivo,Provides richer context informations and facilitates the means for adapting to future locations.,Fornece um maior grau de detalhes sobre o contexto que facilita a análise da localização futura.,,https://www.dropbox.com/s/yog06b34bvk6aqa/Predictive%20Location%20Tracking.jpg?dl=1,ok,ok,,,,,
,Prenatal gene manipulation,Manipulação Genética Pré-Natal,A direct manipulation of an embryo/fetus genome using biotechnology.,"Manipulação direta no genoma de um embrião usando biotecnologia. Poderá ser usada para escolher desde a cor dos olhos até prevenir doenças, como diabetes.",,,ok,ok,,,,,
,Printed batteries,Baterias Impressas,"Flexible, ultra thin, rechargeable batteries that can be printed cheaply on commonly used industrial screen printers. The batteries can deliver enough current for low-power devices, reducing their weight.","Baterias flexíveis, ultrafinas e recarregáveis que podem ser impressas a baixo custo em serigrafias. As baterias podem entregar corrente suficiente para dispositivos que requerem pouca energia, reduzindo seu peso.",,https://www.dropbox.com/s/ejx92yfpmuf7np6/Printed%20Batteries.png?dl=1,ok,ok,,,,,
,Printed electronics,Eletrônicos Impressos,"A set of printing methods used to create electrical devices on various substrates. Electrically functional or optical inks are deposited on the material, creating active or passive devices, such as thin ﬁlm transistors or resistors. Printed electronics is expected to facilitate widespread, very low-cost, low-performance electronics for applications such as ﬂexible displays, smart labels, decorative and animated posters, and active clothing that do not require high performance.","Tintas eletricamente funcionais ou ópticas depositadas sobre o material criam dispositivos passivos ou ativos, como transistores e resistores de película fina. Espera-se que os eletrônicos impressos facilitem a produção em larga escala de eletrônicos de baixo desempenho e preço, como telas flexíveis, rótulos inteligentes, pôsteres decorativos animados e roupas inteligentes.",,https://www.dropbox.com/s/dj19nhxv3ell96w/Printed%20Electronics.jpg?dl=1,ok,ok,,ok,1,,
,Proactive software agents,Assistente Proativo Artificial,"Software applications with the capacity of discerning and predicting likely future needs for whomever is being served. Intelligently scheduling meetings, sorting email and selectively notif ying the user are potential usages.","Aplicações de software com capacidade de discernir e prever prováveis necessidades do usuário. Entre seus potenciais usos estão a programação de reuniões de forma inteligente, a priorização de e-mails e o envio selecionado de alertas.",ok,http://i.huffpost.com/gen/1797205/thumbs/o-ARTIFICIAL-INTELLIGENCE-facebook.jpg,ok,ok,,ok,1,,ok
,Procedural storytelling,Retórica Processual,"Generate content algorithmically rather than manually, and is often used to generate game levels and other content.","Conteúdo gerado através de algoritmos, muitas vezes utilizado em videogames para incorporar uma ideologia em sua estrutura computacional.",,https://www.dropbox.com/s/t6ebf8zfsrak9hq/procedural%20storytelling.png?dl=0,ok,ok,,ok,,,
,Programmable matter,Matéria Programável,"Matter with the ability to change its physical properties (shape, density, optical properties, etc.) in a programmable fashion, based upon user input or autonomous sensing.","Matéria com a capacidade de alterar as suas propriedades físicas (forma, densidade, propriedades ópticas, etc.). Tal capacidade da matéria pode ser programada com base em ações do usuário ou em detecção autônoma. Assim, toda matéria programável ""nasce"" com a habilidade de executar o processamento de informação.",,https://www.dropbox.com/s/13t1sossjcf10j9/Programmable%20matter.jpg?dl=0,ok,ok,,ok,1,,
,Pseudo-plastics,Pseudoplastico,"Nanocellulose packaging that can replace plastics in food, medicine, electronics, textiles, and consumer products.","Embalagens de nanocelulose que podem substituir plásticos em alimentos, medicamentos, eletrônicos, roupas, etc.",,https://www.dropbox.com/s/gojrvkql4fr5hrn/Pseudo-plastics.jpg?dl=0,ok,ok,,,,,
,Quantified self,Self Quantificado,"Movement to incorporate technology into data acquisition on daily life in terms of inputs (e.g. food consumed), states (e.g. mood), and performance (mental and physical). With the coming changes in the amount and diversity of datasets, data-centric approaches that compute on massive amounts of data to discover patterns and to make clinically relevant predictions would be increasingly common in translational bioinformatics.","Movimento que incorpora tecnologia na aquisição de dados da vida diária em termos de inputs (ex. alimentos consumidos), emoções (ex. humor) e performance (física e mental). Essa tendência combinada com inteligência de Big Data pode levar desde insights de venda a testes clínicos de drogas.",ok,https://www.dropbox.com/s/dovplwoz7i5ov38/Quantified%20Self.jpg?dl=1,ok,ok,,ok,,,ok
,Quantified worker,Funcionário Quantificado,"New data streams tied to worker behaviour are being used to measure and evaluate work performance and value. Monitoring systems are gathering data from superiors, peers and workflows, to develop new metrics that help measure and track valuable characteristics like leadership, curiosity, persistence, influence and critical contribution.","Sistemas de monitoramento que recolhem dados para desenvolver novas métricas que ajudam a medir e traçar características valiosas como liderança, curiosidade, influência, persistência e contribuição crítica. ",,https://www.dropbox.com/s/cnh82m7zqejuduk/Quantified%20Employee.jpg?dl=1,ok,ok,,,,,
,Rapid iteration selective breeding,Reprodução Seletiva De Rápida Iteração,The next generation of selective breeding where the end-result is analyzed quantitatively and improvements are suggested algorithmically.,"A próxima geração de reprodução seletiva, onde o resultado final é analisado de forma quantitativa e melhorias são sugeridas através de algoritmos.",,https://www.dropbox.com/s/awbfszwevg3alj0/Rapid%20Iteration%20Selective%20Breeding.jpg?dl=0,ok,ok,,,,,
,Reactive materials,Materiais Reativos,"Have one or more properties that can be significantly changed in a controlled fashion by external stimuli, such as stress, temperature, moisture, pH, electric or","Possuem uma ou mais propriedades que podem ser significativamente transformadas de um modo controlado por meio de estímulos externos, como temperatura, pH e umidade.",,https://www.dropbox.com/s/xq8e6dym906xni8/Reactive%20Materials.jpg?dl=0,ok,ok,,,,,
,Reputation economies,Economias De Reputação,"As the network provides more opportunities for individual influence through comments, reviews and likes, it provides more context, cause and character for decision-making.","A medida que a rede social oferece mais oportunidades para a influência individual por meio de comentários, opiniões e curtidas, ela providencia contexto, causa e caráter para a tomada de decisão.",,https://www.dropbox.com/s/0hbso0lt2fjf81e/Reputation%20Economies.jpg?dl=1,ok,ok,ok,ok,,,
